"threshold","tpr","fpr","precision","network","network_label","n","n_f"
0.5,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.51,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.52,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.53,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.54,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.55,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.56,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.57,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.58,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.59,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.6,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.61,0.903225806451613,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.62,0.903225806451613,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.63,0.903225806451613,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.64,0.903225806451613,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.65,0.903225806451613,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.66,0.903225806451613,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.67,0.903225806451613,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.68,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.69,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.7,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.71,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.72,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.73,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.74,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.75,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.76,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.77,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.78,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.79,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.8,0.806451612903226,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
