"tp","fp","fn","tn","precision","sensitivity","specificity","f1","shd","response_precision","response_recall","response_true_edges","network","n","rep"
22,3,2,93,0.88,0.916666666666667,0.96875,0.897959183673469,14,1,1,5,"A_baseline_only",200,7
27,13,4,127,0.675,0.870967741935484,0.907142857142857,0.76056338028169,29,0.875,1,7,"B_with_time",200,7
23,2,1,94,0.92,0.958333333333333,0.979166666666667,0.938775510204082,8,1,1,5,"A_baseline_only",300,7
30,14,1,126,0.681818181818182,0.967741935483871,0.9,0.8,26,0.7,1,7,"B_with_time",300,7
22,6,2,90,0.785714285714286,0.916666666666667,0.9375,0.846153846153846,18,0.833333333333333,1,5,"A_baseline_only",500,7
30,13,1,127,0.697674418604651,0.967741935483871,0.907142857142857,0.810810810810811,27,1,1,7,"B_with_time",500,7
11,15,13,81,0.423076923076923,0.458333333333333,0.84375,0.44,34,0.4,0.4,5,"A_baseline_only",20,8
15,26,16,114,0.365853658536585,0.483870967741935,0.814285714285714,0.416666666666667,51,0.6,0.428571428571429,7,"B_with_time",20,8
14,10,10,86,0.583333333333333,0.583333333333333,0.895833333333333,0.583333333333333,27,1,0.4,5,"A_baseline_only",30,8
17,13,14,127,0.566666666666667,0.548387096774194,0.907142857142857,0.557377049180328,36,0.875,1,7,"B_with_time",30,8
16,6,8,90,0.727272727272727,0.666666666666667,0.9375,0.695652173913043,23,1,0.4,5,"A_baseline_only",40,8
22,14,9,126,0.611111111111111,0.709677419354839,0.9,0.656716417910448,35,0.75,0.857142857142857,7,"B_with_time",40,8
15,8,9,88,0.652173913043478,0.625,0.916666666666667,0.638297872340426,26,0.75,0.6,5,"A_baseline_only",50,8
23,10,8,130,0.696969696969697,0.741935483870968,0.928571428571429,0.71875,27,0.857142857142857,0.857142857142857,7,"B_with_time",50,8
17,10,7,86,0.62962962962963,0.708333333333333,0.895833333333333,0.666666666666667,23,1,0.8,5,"A_baseline_only",60,8
22,15,9,125,0.594594594594595,0.709677419354839,0.892857142857143,0.647058823529412,36,0.75,0.857142857142857,7,"B_with_time",60,8
18,6,6,90,0.75,0.75,0.9375,0.75,22,1,0.6,5,"A_baseline_only",75,8
23,11,8,129,0.676470588235294,0.741935483870968,0.921428571428571,0.707692307692308,32,1,1,7,"B_with_time",75,8
20,13,4,83,0.606060606060606,0.833333333333333,0.864583333333333,0.701754385964912,27,0.666666666666667,0.8,5,"A_baseline_only",100,8
23,11,8,129,0.676470588235294,0.741935483870968,0.921428571428571,0.707692307692308,34,1,1,7,"B_with_time",100,8
21,8,3,88,0.724137931034483,0.875,0.916666666666667,0.792452830188679,22,0.8,0.8,5,"A_baseline_only",150,8
25,10,6,130,0.714285714285714,0.806451612903226,0.928571428571429,0.757575757575758,26,0.75,0.857142857142857,7,"B_with_time",150,8
22,4,2,92,0.846153846153846,0.916666666666667,0.958333333333333,0.88,21,0.8,0.8,5,"A_baseline_only",200,8
26,10,5,130,0.722222222222222,0.838709677419355,0.928571428571429,0.776119402985075,32,0.7,1,7,"B_with_time",200,8
22,3,2,93,0.88,0.916666666666667,0.96875,0.897959183673469,17,1,0.8,5,"A_baseline_only",300,8
29,11,2,129,0.725,0.935483870967742,0.921428571428571,0.816901408450704,25,0.875,1,7,"B_with_time",300,8
22,8,2,88,0.733333333333333,0.916666666666667,0.916666666666667,0.814814814814815,18,0.666666666666667,0.8,5,"A_baseline_only",500,8
29,14,2,126,0.674418604651163,0.935483870967742,0.9,0.783783783783784,32,1,1,7,"B_with_time",500,8
12,14,12,82,0.461538461538462,0.5,0.854166666666667,0.48,35,0.5,0.2,5,"A_baseline_only",20,9
19,18,12,122,0.513513513513513,0.612903225806452,0.871428571428571,0.558823529411765,40,1,0.571428571428571,7,"B_with_time",20,9
12,11,12,85,0.521739130434783,0.5,0.885416666666667,0.51063829787234,30,0.666666666666667,0.4,5,"A_baseline_only",30,9
19,18,12,122,0.513513513513513,0.612903225806452,0.871428571428571,0.558823529411765,40,0.625,0.714285714285714,7,"B_with_time",30,9
16,9,8,87,0.64,0.666666666666667,0.90625,0.653061224489796,23,0.833333333333333,1,5,"A_baseline_only",40,9
22,13,9,127,0.628571428571429,0.709677419354839,0.907142857142857,0.666666666666667,33,1,0.714285714285714,7,"B_with_time",40,9
18,6,6,90,0.75,0.75,0.9375,0.75,23,0.666666666666667,0.4,5,"A_baseline_only",50,9
16,16,15,124,0.5,0.516129032258065,0.885714285714286,0.507936507936508,41,0.833333333333333,0.714285714285714,7,"B_with_time",50,9
15,4,9,92,0.789473684210526,0.625,0.958333333333333,0.697674418604651,18,1,0.8,5,"A_baseline_only",60,9
23,14,8,126,0.621621621621622,0.741935483870968,0.9,0.676470588235294,31,0.857142857142857,0.857142857142857,7,"B_with_time",60,9
19,7,5,89,0.730769230769231,0.791666666666667,0.927083333333333,0.76,20,0.8,0.8,5,"A_baseline_only",75,9
22,11,9,129,0.666666666666667,0.709677419354839,0.921428571428571,0.6875,39,1,0.714285714285714,7,"B_with_time",75,9
20,3,4,93,0.869565217391304,0.833333333333333,0.96875,0.851063829787234,20,1,0.8,5,"A_baseline_only",100,9
24,9,7,131,0.727272727272727,0.774193548387097,0.935714285714286,0.75,28,0.833333333333333,0.714285714285714,7,"B_with_time",100,9
22,3,2,93,0.88,0.916666666666667,0.96875,0.897959183673469,19,1,1,5,"A_baseline_only",150,9
25,11,6,129,0.694444444444444,0.806451612903226,0.921428571428571,0.746268656716418,36,0.666666666666667,0.857142857142857,7,"B_with_time",150,9
23,2,1,94,0.92,0.958333333333333,0.979166666666667,0.938775510204082,11,1,1,5,"A_baseline_only",200,9
28,13,3,127,0.682926829268293,0.903225806451613,0.907142857142857,0.777777777777778,34,0.875,1,7,"B_with_time",200,9
22,8,2,88,0.733333333333333,0.916666666666667,0.916666666666667,0.814814814814815,22,0.833333333333333,1,5,"A_baseline_only",300,9
28,11,3,129,0.717948717948718,0.903225806451613,0.921428571428571,0.8,24,0.875,1,7,"B_with_time",300,9
22,3,2,93,0.88,0.916666666666667,0.96875,0.897959183673469,15,1,1,5,"A_baseline_only",500,9
27,17,4,123,0.613636363636364,0.870967741935484,0.878571428571429,0.72,37,0.875,1,7,"B_with_time",500,9
11,18,13,78,0.379310344827586,0.458333333333333,0.8125,0.415094339622641,35,0.5,0.4,5,"A_baseline_only",20,10
22,18,9,122,0.55,0.709677419354839,0.871428571428571,0.619718309859155,40,0.714285714285714,0.714285714285714,7,"B_with_time",20,10
15,11,9,85,0.576923076923077,0.625,0.885416666666667,0.6,25,0.5,0.4,5,"A_baseline_only",30,10
15,23,16,117,0.394736842105263,0.483870967741935,0.835714285714286,0.434782608695652,46,0.5,0.571428571428571,7,"B_with_time",30,10
16,9,8,87,0.64,0.666666666666667,0.90625,0.653061224489796,21,1,1,5,"A_baseline_only",40,10
16,12,15,128,0.571428571428571,0.516129032258065,0.914285714285714,0.542372881355932,35,0.666666666666667,0.571428571428571,7,"B_with_time",40,10
16,10,8,86,0.615384615384615,0.666666666666667,0.895833333333333,0.64,26,1,0.4,5,"A_baseline_only",50,10
20,12,11,128,0.625,0.645161290322581,0.914285714285714,0.634920634920635,35,0.857142857142857,0.857142857142857,7,"B_with_time",50,10
20,7,4,89,0.740740740740741,0.833333333333333,0.927083333333333,0.784313725490196,17,0.833333333333333,1,5,"A_baseline_only",60,10
21,16,10,124,0.567567567567568,0.67741935483871,0.885714285714286,0.617647058823529,34,1,0.857142857142857,7,"B_with_time",60,10
18,6,6,90,0.75,0.75,0.9375,0.75,19,0.833333333333333,1,5,"A_baseline_only",75,10
23,11,8,129,0.676470588235294,0.741935483870968,0.921428571428571,0.707692307692308,34,1,0.857142857142857,7,"B_with_time",75,10
